domain,owner,certified_date,cert_level,detail_url
baothuathienhue.vn,Báo Thừa Thiên Huế,09/09/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baothuathienhuevn-1630902182
baotonpuluong.vn,Ban Quản lý Khu Bảo tồn thiên nhiên Pù Luông tỉnh Thanh Hóa,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotonpuluongvn-1729132963
baotramblog.com,Bảo Trâm Blog,31/12/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotramblogcom-1637141261
baoyen.laocai.gov.vn,UBND huyện Bảo Yên tỉnh Lào Cai,19/07/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoyenlaocaigovvn-1626685424
baria-vungtau.dcs.vn,Ban Tuyên giáo Tỉnh ủy Bà Rịa - Vũng Tàu,26/07/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baria-vungtaudcsvn-1627274508
bariavungtau.toaan.gov.vn,Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu,05/08/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bariavungtautoaangovvn-1628128325
batdongsanbaria.com,Công Ty TNHH Địa Ốc Tuyết Mai,26/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/batdongsanbariacom-1655886618
batgt.quangninh.gov.vn,Ban An toàn Giao thông tỉnh Quảng Ninh,18/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/batgtquangninhgovvn-1637166210
bathuoc.thanhhoa.gov.vn,UBND huyện Bá Thước tỉnh Thanh Hóa,01/08/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bathuocthanhhoagovvn-1690781391
bato.quangngai.gov.vn,"Huyện Ba Tơ, Tỉnh Quảng Ngãi",10/05/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/batoquangngaigovvn-1620635336
batxat.laocai.gov.vn,"UBND Huyện Bát Xát, tỉnh Lào Cai",25/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/batxatlaocaigovvn-1637810439
