domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
90phut.com.vn,Công ty Cổ phần Mua bán Trực tuyến Giá Thấp,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
989me.vn,CÔNG TY TNHH KỸ THUẬT ĐIỆN VÀ CƠ KHÍ 989,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2017-04-14,Giấy phép (ABEI),149/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
9d.dzogame.vn,CÔNG TY TNHH CHÂU Á MỀM,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-01-21,Giấy phép (ABEI),71/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
9dtruyenky2.vn,CÔNG TY CỔ PHẦN TRỰC TUYẾN DUO,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-05-15,Giấy phép (ABEI),833/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
9gate.vn,CÔNG TY TNHH GIẢI TRÍ SỐ 9 VIỆT NAM,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-03-11,Giấy phép (ABEI),93/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
9play.com.vn,CÔNG TY CỔ PHẦN 9PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-06-30,Giấy phép (ABEI),299/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
www.9play.vn,CÔNG TY CỔ PHẦN 9PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-06-07,Giấy phép (ABEI),985/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
9play.vn,CÔNG TY CỔ PHẦN 9PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-08-17,Giấy phép (ABEI),1235/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
9rivers.vn,Đài Phát thanh và Truyền hình Cần Thơ,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
abei.vn,"Cục Phát thanh, truyền hình và thông tin điện tử",Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
abei.gov.vn,"Cục Phát thanh, truyền hình và thông tin điện tử",Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
www.abei.gov.vn,"CỤC PHÁT THANH, TRUYỀN HÌNH VÀ THÔNG TIN ĐIỆN TỬ",GIẤY PHÉP THIẾT LẬP TRANG THÔNG TIN ĐIỆN TỬ TỔNG HỢP,2016-05-12,Giấy phép (ABEI),48/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
abrandgame.com,CÔNG TY TNHH LAVA DIGITAL,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2022-07-08,Giấy phép (ABEI),85/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
abwealth.vn,CÔNG TY CỔ PHẦN CHỨNG KHOÁN AN BÌNH,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2023-10-25,Giấy phép (ABEI),403/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
ac3q.zoneplay.vn,CÔNG TY TNHH GZONE MEDIA VIỆT NAM,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2022-02-25,Giấy phép (ABEI),357/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
acahatca.dongtaypromoti,Công ty cổ phần VieNETWORK,"MXH - Cá nhân, tổ chức",,Giấy phép (TVPL PDF),,valid,
acegame.vn,CÔNG TY CỔ PHẦN ACE GAME,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2022-09-30,Giấy phép (ABEI),1841/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
